                nu      tot_opac
177   1.659200e+07  5.270000e-17
178   1.653600e+07  5.230000e-17
179   1.648100e+07  5.200000e-17
180   1.642700e+07  5.160000e-17
181   1.637200e+07  5.130000e-17
182   1.631700e+07  5.090000e-17
183   1.626300e+07  5.060000e-17
184   1.620900e+07  5.020000e-17
185   1.615500e+07  4.990000e-17
186   1.610100e+07  4.950000e-17
187   1.604800e+07  4.920000e-17
188   1.599400e+07  4.880000e-17
189   1.594100e+07  4.850000e-17
190   1.588800e+07  4.820000e-17
191   1.583500e+07  4.780000e-17
192   1.578300e+07  4.750000e-17
193   1.573000e+07  4.720000e-17
194   1.567800e+07  4.690000e-17
195   1.562600e+07  4.650000e-17
196   1.557400e+07  4.620000e-17
197   1.552200e+07  4.590000e-17
198   1.547000e+07  4.560000e-17
199   1.541900e+07  4.530000e-17
200   1.536700e+07  4.500000e-17
201   1.531600e+07  4.460000e-17
202   1.526500e+07  4.430000e-17
203   1.521400e+07  4.400000e-17
204   1.516400e+07  4.370000e-17
205   1.511300e+07  4.340000e-17
206   1.506300e+07  4.310000e-17
207   1.501300e+07  4.280000e-17
208   1.496300e+07  4.250000e-17
209   1.491300e+07  4.220000e-17
210   1.486400e+07  4.200000e-17
211   1.481400e+07  4.170000e-17
212   1.476500e+07  4.140000e-17
213   1.471600e+07  4.110000e-17
214   1.466700e+07  4.080000e-17
215   1.461800e+07  4.050000e-17
216   1.456900e+07  4.030000e-17
217   1.452100e+07  4.000000e-17
218   1.447200e+07  3.970000e-17
219   1.442400e+07  3.940000e-17
220   1.437600e+07  3.920000e-17
221   1.432900e+07  3.890000e-17
222   1.428100e+07  3.860000e-17
223   1.423300e+07  3.840000e-17
224   1.418600e+07  3.810000e-17
225   1.413900e+07  3.780000e-17
226   1.409200e+07  3.760000e-17
227   1.404500e+07  3.730000e-17
228   1.399800e+07  3.710000e-17
229   1.395200e+07  3.680000e-17
230   1.390500e+07  3.650000e-17
231   1.385900e+07  3.630000e-17
232   1.381300e+07  3.600000e-17
233   1.376700e+07  3.580000e-17
234   1.372100e+07  3.560000e-17
235   1.367500e+07  3.530000e-17
236   1.363000e+07  3.510000e-17
237   1.358400e+07  3.480000e-17
238   1.353900e+07  3.460000e-17
239   1.349400e+07  3.430000e-17
240   1.344900e+07  3.410000e-17
241   1.340500e+07  3.390000e-17
242   1.336000e+07  3.360000e-17
243   1.331500e+07  3.340000e-17
244   1.327100e+07  3.320000e-17
245   1.322700e+07  3.290000e-17
246   1.318300e+07  3.270000e-17
247   1.313900e+07  3.250000e-17
248   1.309500e+07  3.230000e-17
249   1.305200e+07  3.210000e-17
250   1.300800e+07  3.180000e-17
251   1.296500e+07  3.160000e-17
252   1.292200e+07  3.140000e-17
253   1.287900e+07  3.120000e-17
254   1.283600e+07  3.100000e-17
255   1.279300e+07  3.070000e-17
256   1.275100e+07  3.050000e-17
257   1.270800e+07  3.030000e-17
258   1.266600e+07  3.010000e-17
259   1.262400e+07  2.990000e-17
260   1.258200e+07  2.970000e-17
261   1.254000e+07  2.950000e-17
262   1.249800e+07  2.930000e-17
263   1.245700e+07  2.910000e-17
264   1.241500e+07  2.890000e-17
265   1.237400e+07  2.870000e-17
266   1.233300e+07  2.850000e-17
267   1.229200e+07  2.830000e-17
268   1.225100e+07  2.810000e-17
269   1.221000e+07  2.790000e-17
270   1.217000e+07  2.770000e-17
271   1.212900e+07  2.750000e-17
272   1.208900e+07  2.730000e-17
273   1.204800e+07  2.720000e-17
274   1.200800e+07  2.700000e-17
275   1.196800e+07  2.680000e-17
276   1.192900e+07  2.660000e-17
277   1.188900e+07  2.640000e-17
278   1.184900e+07  2.620000e-17
279   1.181000e+07  2.610000e-17
280   1.177100e+07  2.590000e-17
281   1.173100e+07  2.570000e-17
282   1.169200e+07  2.550000e-17
283   1.165400e+07  2.530000e-17
284   1.161500e+07  2.520000e-17
285   1.157600e+07  2.500000e-17
286   1.153800e+07  2.480000e-17
287   1.149900e+07  2.470000e-17
288   1.146100e+07  2.450000e-17
289   1.142300e+07  2.430000e-17
290   1.138500e+07  2.410000e-17
291   1.134700e+07  2.400000e-17
292   1.130900e+07  2.380000e-17
293   1.127100e+07  2.360000e-17
294   1.123400e+07  2.350000e-17
295   1.119700e+07  2.330000e-17
296   1.115900e+07  2.320000e-17
297   1.112200e+07  2.300000e-17
298   1.108500e+07  2.280000e-17
299   1.104800e+07  2.270000e-17
300   1.101200e+07  2.250000e-17
301   1.097500e+07  2.240000e-17
302   1.093800e+07  2.220000e-17
303   1.090200e+07  2.210000e-17
304   1.086600e+07  2.190000e-17
305   1.083000e+07  2.180000e-17
306   1.079400e+07  2.160000e-17
307   1.075800e+07  2.150000e-17
308   1.072200e+07  2.130000e-17
309   1.068600e+07  2.120000e-17
310   1.065100e+07  2.100000e-17
311   1.061500e+07  2.090000e-17
312   1.058000e+07  2.070000e-17
313   1.054500e+07  2.060000e-17
314   1.051000e+07  2.050000e-17
315   1.047500e+07  2.030000e-17
316   1.044000e+07  2.020000e-17
317   1.040500e+07  2.000000e-17
318   1.037000e+07  1.990000e-17
319   1.033600e+07  1.980000e-17
320   1.030100e+07  1.960000e-17
321   1.026700e+07  1.950000e-17
322   1.023300e+07  1.940000e-17
323   1.019900e+07  1.920000e-17
324   1.016500e+07  1.910000e-17
325   1.013100e+07  1.900000e-17
326   1.009800e+07  1.880000e-17
327   1.006400e+07  1.870000e-17
328   1.003000e+07  1.860000e-17
329   9.997000e+06  1.840000e-17
330   9.963800e+06  1.830000e-17
331   9.930600e+06  1.820000e-17
332   9.897600e+06  1.810000e-17
333   9.864700e+06  1.790000e-17
334   9.831800e+06  1.780000e-17
335   9.799100e+06  1.770000e-17
336   9.766500e+06  1.760000e-17
337   9.734000e+06  1.740000e-17
338   9.701600e+06  1.730000e-17
339   9.669300e+06  1.720000e-17
340   9.637200e+06  1.710000e-17
